,name,score
1240,Images/water_body_43.jpg,0.5429054434273709
1988,Images/water_body_8737.jpg,0.0970585890606242
1971,Images/water_body_8671.jpg,0.1429240446178471
1239,Images/water_body_1195.jpg,0.4574897146358543
1241,Images/water_body_8044.jpg,0.6876148897058824
2349,Images/water_body_10.jpg,0.3514942695828331
2662,Images/water_body_7082.jpg,0.5472207633053221
2214,Images/water_body_7832.jpg,0.4076292235644257
107,Images/water_body_2173.jpg,0.0604237007302921
1984,Images/water_body_1830.jpg,0.8774584052370948
2635,Images/water_body_2190.jpg,1.0
133,Images/water_body_1736.jpg,0.4284878013705482
735,Images/water_body_2553.jpg,0.0822615765056022
574,Images/water_body_8146.jpg,0.1899827118347339
1863,Images/water_body_2506.jpg,0.1475605867346938
2825,Images/water_body_7270.jpg,0.4518298725740295
1041,Images/water_body_1781.jpg,0.7481681735194078
2431,Images/water_body_7580.jpg,0.1834472851640656
2487,Images/water_body_1834.jpg,0.3976386648409364
2572,Images/water_body_7735.jpg,0.7472649215936374
171,Images/water_body_8645.jpg,0.2166239933473389
99,Images/water_body_8511.jpg,0.5930687900160064
395,Images/water_body_6370.jpg,0.1663631077430972
684,Images/water_body_8723.jpg,0.0692135447929171
1456,Images/water_body_7691.jpg,1.0
1698,Images/water_body_1290.jpg,0.3690695028011204
2444,Images/water_body_6414.jpg,0.1481596544867947
695,Images/water_body_8454.jpg,0.2601661758453381
1342,Images/water_body_6378.jpg,0.1483094800420168
795,Images/water_body_7368.jpg,0.2109882234143657
43,Images/water_body_1209.jpg,0.2046195040516206
1776,Images/water_body_829.jpg,0.6694559073629452
2565,Images/water_body_7480.jpg,0.7121617396958784
318,Images/water_body_7352.jpg,0.1228185024009603
613,Images/water_body_8424.jpg,0.434359993997599
1977,Images/water_body_7674.jpg,0.3034034707633053
1403,Images/water_body_98.jpg,1.0
1163,Images/water_body_7591.jpg,0.4116444233943577
2192,Images/water_body_1777.jpg,0.0301298644457783
1795,Images/water_body_2568.jpg,0.1389664459533813
